"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cuedc1",48.8401452311213,-0.269928203138,0.279708330966766,-0.965034549400218,0.334527507229422,0.617362801972495
"Ptp4a3",84.8588457649604,-0.221675173354531,0.229938244152296,-0.964063956266918,0.335013862018527,0.618042814413489
"Azi2",54.7034751767121,0.263223464158386,0.273110388443246,0.963798798203114,0.335146809332273,0.618070601944815
"Sptan1",227.320423221495,0.152550113262168,0.158387037462608,0.963147715280565,0.335473399246566,0.618325650510299
"Cyp26b1",29.7732806702306,-1.08886455182709,1.1308595932748,-0.962864495559437,0.335615529123193,0.618325650510299
"Brd2",219.501504405493,0.147049461125069,0.152728214783342,0.962817913727805,0.335638909279479,0.618325650510299
"Mxd4",256.31805002165,0.143713641229245,0.149415593621379,0.961838304463839,0.336130833524716,0.618984198413723
"Myo9a",34.0515568460096,0.315413703581397,0.327996992375689,0.961635962869199,0.336232499920329,0.618984198413723
"Capn2",44.8764022318502,-0.2728009595271,0.283908433756324,-0.960876561212839,0.336614237219608,0.619469443925027
"Yif1a",30.8087019256458,-0.345003787955304,0.359223145465623,-0.960416366011473,0.336845704513142,0.619677904828914
"Ikbkb",45.2622173841508,0.271901842440067,0.283382895251689,0.959485724071578,0.337314108079713,0.620321946216042
"Ldb2",125.290884176867,-0.204299474224077,0.213348869332442,-0.957584049370963,0.338272545497849,0.621391665335323
"Pds5a",55.156585045384,0.248879920014397,0.259904790976964,0.957581116834648,0.338274024835021,0.621391665335323
"Arl6ip4",52.5065407038402,-0.251488990391047,0.262887458135331,-0.956641264573314,0.338748353478775,0.621391665335323
"Robo4",118.831453196418,0.184037476472806,0.192268497548356,0.957189965176275,0.338471381084309,0.621391665335323
"1110059G10Rik",38.6157079323151,0.297645730907673,0.311026626758622,0.956978294783317,0.338578210567243,0.621391665335323
"Taf15",39.5325589015942,0.295473192662936,0.308919135511427,0.956474231270164,0.338832697210817,0.621391665335323
"Riok1",28.829865304375,0.336673261407045,0.352002266472404,0.956451970554114,0.338843938812452,0.621391665335323
"Lrp10",84.2387371203702,-0.212647599046353,0.222211159482403,-0.956961835497703,0.33858651843167,0.621391665335323
"Tmem204",156.02665505529,0.176611691364573,0.184800393253569,0.955688936885753,0.339229413467675,0.621881054129727
"Pard6g",32.2212349594221,0.384287890929785,0.402496389049988,0.954761089501497,0.339698528727093,0.622523378579569
"Insr",136.050364754939,0.185397151037412,0.194289178559842,0.95423302734439,0.339965700107754,0.622795305962598
"Bzw2",24.9806043107584,0.361888600678293,0.379428343119295,0.953773241353541,0.340198437047162,0.623003983736735
"Dop1a",37.6807555350769,0.31601602628094,0.331529674232161,0.953205854084852,0.340485780894064,0.623153467431876
"Appbp2",49.6350961008252,0.258147874079453,0.270838641122706,0.95314270153385,0.34051777306739,0.623153467431876
"Trrap",38.9015728202415,0.304180378060323,0.319557473751271,0.951880031124176,0.34115782788148,0.624106940538242
"Lama3",30.9698926826469,0.333888330725002,0.351215402148182,0.950665399873694,0.341774257753319,0.62501654461132
"Cd74",49.4712712813375,0.284369010027012,0.29921649414715,0.950378791241248,0.341919816557161,0.625064713462063
"Tspan17",33.6716052288989,-0.315575514137306,0.332253663983085,-0.949802961851978,0.342212380639267,0.625381495884168
"Nfatc1",34.3147896690407,0.325877839563542,0.343749507528755,0.948009618708418,0.34312455749771,0.626829984306791
"Set",294.232489048744,-0.125334670489528,0.132247647930497,-0.947727029182381,0.343268437102778,0.626874404642935
"Abhd5",30.6987725971295,0.31752341225629,0.335284798885579,0.947025971089877,0.343625545112141,0.627308054673732
"Spcs3",42.8210679474106,0.278697057089112,0.294371774190297,0.94675196987109,0.343765181503624,0.627344534153672
"Efcab14",62.3560683721647,-0.231839456702167,0.244943247259632,-0.946502748273049,0.343892221176341,0.627358008221141
"Maml2",32.8565632303191,0.320013924066466,0.338417273139976,0.945619356533558,0.344342767831528,0.627888912434654
"Pgp",56.7673006800572,-0.247941144999904,0.262243207974877,-0.94546259906818,0.344422756468065,0.627888912434654
"Hbp1",66.8177318836666,-0.231901429027247,0.245742949492188,-0.94367480127693,0.345335854707519,0.62888543275786
"Jkamp",52.9234205683723,-0.244624578652956,0.259243398883377,-0.943609672248598,0.345369147757482,0.62888543275786
"Ankrd12",269.547699079537,-0.143689555234525,0.152301742302289,-0.943453128391201,0.345449179161289,0.62888543275786
