"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"H2-D1",1876.97429557291,-0.488669181134115,0.0830756470810029,7.40122338246819e-10,2.60717832099261e-08
"Rplp2",2736.48918475363,-0.440095791613209,0.0747320585521535,8.61383734197186e-10,3.01845095967632e-08
"Pnrc1",739.272152600484,-0.606375994421451,0.104766529878327,8.83685005677282e-10,3.08047069947815e-08
"Cxcl10",310.550981682889,-0.819956980539654,0.143042402481368,9.5384273767085e-10,3.29075744496443e-08
"Wdr45b",93.5579675430954,1.23192839850624,0.21797758970529,9.52500856782635e-10,3.29075744496443e-08
"Cebpb",1040.87707091658,-0.656598330645939,0.114088429727859,9.72075653087213e-10,3.33646274159627e-08
"Pdia3",660.443606230919,-0.621447756914736,0.108177554822797,1.11838482370868e-09,3.81905593116438e-08
"Ndufa4",493.539338868507,-0.685698944661569,0.120147375911256,1.17587549289762e-09,3.99499222028618e-08
"Hsp90aa1",576.840167055982,-0.693198024877426,0.12136113230296,1.29115270991366e-09,4.36448741790511e-08
"mt-Nd6",93.6201580075742,1.31920706697646,0.235500120144162,1.3721019818753e-09,4.61481334909116e-08
"Atpif1",554.115807205311,-0.65983527044653,0.117847865643034,2.32009487306503e-09,7.76419749271212e-08
"Akap13",334.019913976643,0.712630125620931,0.127565742702601,2.54321028486046e-09,8.46851066496073e-08
"Bcl2a1b",966.693152671495,-0.61945233683355,0.110510825245529,2.60306273419578e-09,8.62490043562987e-08
"Mafb",1019.12578769109,-0.542792046340489,0.0963520445720325,2.79846692770498e-09,9.22666953060564e-08
"Gngt2",262.054350635239,-0.812102713704664,0.147522924914941,3.05917982535874e-09,1.00368091034932e-07
"Ssr4",471.507530332597,-0.649415692826769,0.116964858695182,3.14796731883418e-09,1.02777293975401e-07
"Trem2",894.43937752301,-0.578831321370209,0.103854031506838,3.37208176345728e-09,1.09559918654464e-07
"Cox6a1",335.053459159952,-0.675727638916225,0.122154642597594,3.43290599481036e-09,1.1046365299647e-07
"Clic1",741.929694242762,-0.532352785257958,0.0951111638976307,3.43025418672179e-09,1.1046365299647e-07
"Rpl35a",3768.72574883004,-0.434333887872501,0.0771016201222932,3.97395246952844e-09,1.27261549658153e-07
"Trmt112",193.907612417223,-0.818418060718656,0.149856900100079,4.09762440146557e-09,1.30597143423853e-07
"Atp5f1",374.894658583246,-0.663227207059702,0.121690393140951,5.46134007449216e-09,1.73235777813157e-07
"Clec2d",308.482520869269,0.711707941848375,0.130677757025146,5.58407115155703e-09,1.76293340647977e-07
"Tmem59",419.228705628613,-0.618328025772747,0.11313082932226,5.86102633497253e-09,1.84168306384841e-07
"Atp6v1g1",461.961192241772,-0.66218073244691,0.122107599555187,6.20126391550569e-09,1.93948875637755e-07
"Mef2c",764.902142423857,0.561812943874406,0.102586878568113,6.44906747092101e-09,2.00760970152904e-07
"Pla2g2d",94.2678060928012,1.28260707272044,0.242911731878451,7.95373476015213e-09,2.46455309026381e-07
"Nudcd3",76.5495280522815,1.37926524387929,0.263264076402226,8.56575267597756e-09,2.64196233457686e-07
"Pdcd4",94.5289837796714,1.11850607389344,0.211402537285818,8.80154614170117e-09,2.70223616176174e-07
"Elob",518.466995015596,-0.589778494772185,0.109320911585684,9.20102029456479e-09,2.81198305166768e-07
"Rpl35",1342.63278631501,0.453232218627284,0.0828134579177995,9.43730742307515e-09,2.871086299211e-07
"Id2",372.489851685115,-0.730783142518821,0.137389739930357,9.86607028978714e-09,2.98794608368984e-07
"Phlda1",199.62628749997,-0.815940122238047,0.153756606227158,1.004103266854e-08,3.02723565993416e-07
"Rpl36al",837.64256086658,-0.540641414484387,0.100276279420266,1.08967926358005e-08,3.27050372696919e-07
"Malat1",36485.3310361976,0.384164427006959,0.0693735843791742,1.15291153697498e-08,3.44483790936318e-07
"AC149090.1",182.58610322461,1.04769132008124,0.200807475528947,1.25850050031422e-08,3.74361948826804e-07
"Gstm1",64.4417017526673,1.35604362660981,0.26223491043443,1.28229047683727e-08,3.79750892100524e-07
"Gadd45b",479.492609577939,-0.677664262587354,0.128261249343002,1.36719227121566e-08,4.03110919438167e-07
"Sdcbp",646.45259791764,-0.549132261081108,0.10289867916326,1.38020720472558e-08,4.05163457071416e-07
"H2-Eb1",5980.85142124065,-0.542922933551555,0.101603940358128,1.39841318093932e-08,4.08715258516458e-07
"Hspa8",2470.66341381002,-0.443519415073893,0.0821913384804244,1.51194556684178e-08,4.39976159950959e-07
"Ndufb11",262.13038679447,-0.747461869432167,0.142756378532879,1.53647226817317e-08,4.45177874064199e-07
"H2-Ab1",6288.66747047466,-0.519459214044747,0.0973000256082297,1.54491981005209e-08,4.45696046925803e-07
"Tuba1a",87.6347951504564,-1.11492664703737,0.215940303376517,1.64784538801615e-08,4.73348891930992e-07
"Rab8b",238.760698229358,0.720240201750398,0.137964779796437,1.82146131454582e-08,5.20984640096376e-07
"Dad1",284.227800639105,-0.713719814938642,0.137066423498723,1.83531070569717e-08,5.22712108648134e-07
"Ckb",489.686847753727,-0.626810189445958,0.119956870890214,2.07221068992606e-08,5.85202791041145e-07
"Uqcrb",321.172590495625,-0.678114292520397,0.130165679304143,2.06568183856297e-08,5.85202791041145e-07
"Atp5l",684.552189111857,-0.505864950363212,0.0959115148191469,2.30639380415813e-08,6.48600576942453e-07
"Cox7a2l",525.791371555583,-0.547736318333495,0.104635666448054,2.54001375641312e-08,7.11310128521884e-07
"Ap1s2",121.156762820718,1.01299166058611,0.198629774289082,2.60930629975725e-08,7.27670294344803e-07
"Cox6b1",544.522750374596,-0.555492393392779,0.106611227811611,2.77709819872805e-08,7.68062737358959e-07
"Npc2",1351.38897278162,-0.450212808562425,0.0853354419368768,2.77193161080586e-08,7.68062737358959e-07
"Atp1b1",80.5204780734555,-1.17818623372885,0.235459792222424,3.07584737332892e-08,8.47187097518126e-07
"Lamtor4",249.921491144566,-0.699799020509765,0.136324723458306,3.0909860809132e-08,8.47867616375083e-07
"Myl12b",344.86382766133,-0.640718312414732,0.124437356007073,3.12364356169555e-08,8.53328422792992e-07
"Pla2g7",521.95371655489,0.580932511689257,0.112240169349684,3.15706303498547e-08,8.58952150128364e-07
"Dnaja1",603.534002198276,-0.606216965651418,0.117784355254093,3.53304910332198e-08,9.57356180102592e-07
"Selenof",409.389096000819,-0.577278988138542,0.112709261865815,4.15888022096912e-08,1.12239456931235e-06
"Gnal",56.7146995357524,-1.36550792423221,0.276939331986,4.24764671857547e-08,1.14174696736649e-06
"Ndufb10",252.973625203139,-0.712228157235152,0.141337103744516,4.67145817597883e-08,1.25064278287305e-06
