"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ap2b1",105.296053241941,1.31725143254916,0.204229044836195,7.37519266805802e-12,3.71144094190318e-10
"S100a5",85.6380072526172,-1.40255092254325,0.225229390912551,3.0201647047951e-11,1.36580826818876e-09
"Tnrc6a",133.350309772988,1.1153004944799,0.178943722682727,3.25149981760374e-11,1.45300222921905e-09
"Gng13",71.9714509986448,-1.52137080237968,0.245888838344842,3.29341326258408e-11,1.45300222921905e-09
"Tle4",131.544990148608,1.13924388014676,0.187597410786279,9.30160887438739e-11,3.79607732904115e-09
"Hes1",33.7203575326295,2.48796612324374,0.418105137926012,1.5221904311639e-10,5.95790675776605e-09
"Omp",65.6284844470378,-1.54493213053119,0.261026587370969,1.5818588746336e-10,6.14577987911209e-09
"Rdx",176.435381685378,1.01398626282474,0.170522365143186,1.8953221116222e-10,7.24879479604994e-09
"Wdr43",67.9587160357192,1.46615067883832,0.253439801178023,4.61680217653439e-10,1.67028416040782e-08
"Wdr45b",93.5579675430954,1.23192839850624,0.21797758970529,9.52500856782635e-10,3.29075744496443e-08
"Pla2g2d",94.2678060928012,1.28260707272044,0.242911731878451,7.95373476015213e-09,2.46455309026381e-07
"Nudcd3",76.5495280522815,1.37926524387929,0.263264076402226,8.56575267597756e-09,2.64196233457686e-07
"Pdcd4",94.5289837796714,1.11850607389344,0.211402537285818,8.80154614170117e-09,2.70223616176174e-07
"AC149090.1",182.58610322461,1.04769132008124,0.200807475528947,1.25850050031422e-08,3.74361948826804e-07
"Gstm1",64.4417017526673,1.35604362660981,0.26223491043443,1.28229047683727e-08,3.79750892100524e-07
"Tuba1a",87.6347951504564,-1.11492664703737,0.215940303376517,1.64784538801615e-08,4.73348891930992e-07
"Ap1s2",121.156762820718,1.01299166058611,0.198629774289082,2.60930629975725e-08,7.27670294344803e-07
"Atp1b1",80.5204780734555,-1.17818623372885,0.235459792222424,3.07584737332892e-08,8.47187097518126e-07
"Gnal",56.7146995357524,-1.36550792423221,0.276939331986,4.24764671857547e-08,1.14174696736649e-06
"Fxyd2",19.1180034871171,5.49078245399085,1.01240269104225,5.43916487498627e-08,1.44461629001124e-06
"5430402E10Rik",25.5879870311451,2.24859414990909,0.465087073189431,6.07817897385179e-08,1.58911140124961e-06
"Cd180",122.520209293463,1.07376748910462,0.225907457502703,1.47001766970964e-07,3.60396639683759e-06
"Polr2l",30.250966522861,1.78479033125243,0.383124154425739,1.79038924042016e-07,4.31045870004753e-06
"6720427I07Rik",34.9074699110624,1.60722205833409,0.354981457046463,3.5916323461964e-07,8.26075439625171e-06
