seurat_clusters,organ_custom,time,mouse_id,n_cells
5,OM,D02,m1_ET_D2,41
5,OM,D02,m2_ET_D2,70
5,OM,D02,m3_ET_D2,26
5,OM,D05,m1_ET_D5,7
5,OM,D05,m2_ET_D5,17
5,OM,D05,m3_ET_D5,8
5,OM,D08,m1_ET_D8,52
5,OM,D08,m2_ET_D8,51
5,OM,D08,m3_ET_D8,38
5,OM,D14,m1_ET_D14,28
5,OM,D14,m2_ET_D14,86
5,OM,D14,m3_ET_D14,73
5,OM,Naive,m1_ET_Naive,60
5,OM,Naive,m2_ET_Naive,42
5,OM,Naive,m3_ET_Naive,42
5,RM,D02,m1_RT_D2,98
5,RM,D02,m2_RT_D2,54
5,RM,D02,m3_RT_D2,54
5,RM,D05,m1_RT_D5,74
5,RM,D05,m2_RT_D5,152
5,RM,D05,m3_RT_D5,219
5,RM,D08,m1_RT_D8,440
5,RM,D08,m2_RT_D8,434
5,RM,D08,m3_RT_D8,290
5,RM,D14,m1_RT_D14,339
5,RM,D14,m2_RT_D14,300
5,RM,D14,m3_RT_D14,231
5,RM,Naive,m1_RT_Naive,87
5,RM,Naive,m2_RT_Naive,81
5,RM,Naive,m3_RT_Naive,86
6,LNG,D02,m1_Sinus_D2,16
6,LNG,D02,m2_Sinus_D2,17
6,LNG,D02,m3_Sinus_D2,5
6,LNG,D05,m3_Sinus_D5,1
6,LNG,D08,m1_Sinus_D8,2
6,LNG,D08,m2_Sinus_D8,2
6,LNG,D08,m3_Sinus_D8,2
6,LNG,D14,m1_Sinus_D14,3
6,LNG,D14,m2_Sinus_D14,19
6,LNG,D14,m3_Sinus_D14,13
6,LNG,Naive,m1_Sinus_Naive,4
6,LNG,Naive,m2_Sinus_Naive,2
6,LNG,Naive,m3_Sinus_Naive,5
6,OM,D02,m1_ET_D2,145
6,OM,D02,m2_ET_D2,183
6,OM,D02,m3_ET_D2,160
6,OM,D05,m1_ET_D5,15
6,OM,D05,m2_ET_D5,13
6,OM,D05,m3_ET_D5,15
6,OM,D08,m1_ET_D8,201
6,OM,D08,m2_ET_D8,126
6,OM,D08,m3_ET_D8,120
6,OM,D14,m1_ET_D14,105
6,OM,D14,m2_ET_D14,224
6,OM,D14,m3_ET_D14,207
6,OM,Naive,m1_ET_Naive,113
6,OM,Naive,m2_ET_Naive,104
6,OM,Naive,m3_ET_Naive,125
6,RM,D02,m1_RT_D2,215
6,RM,D02,m2_RT_D2,136
6,RM,D02,m3_RT_D2,76
6,RM,D05,m1_RT_D5,104
6,RM,D05,m2_RT_D5,142
6,RM,D05,m3_RT_D5,166
6,RM,D08,m1_RT_D8,155
6,RM,D08,m2_RT_D8,233
6,RM,D08,m3_RT_D8,152
6,RM,D14,m1_RT_D14,299
6,RM,D14,m2_RT_D14,196
6,RM,D14,m3_RT_D14,206
6,RM,Naive,m1_RT_Naive,103
6,RM,Naive,m2_RT_Naive,68
6,RM,Naive,m3_RT_Naive,64
7,LNG,D02,m1_Sinus_D2,33
7,LNG,D02,m2_Sinus_D2,30
7,LNG,D02,m3_Sinus_D2,35
7,LNG,D05,m1_Sinus_D5,20
7,LNG,D05,m2_Sinus_D5,13
7,LNG,D05,m3_Sinus_D5,18
7,LNG,D08,m1_Sinus_D8,13
7,LNG,D08,m2_Sinus_D8,16
7,LNG,D08,m3_Sinus_D8,10
7,LNG,D14,m1_Sinus_D14,39
7,LNG,D14,m2_Sinus_D14,71
7,LNG,D14,m3_Sinus_D14,32
7,LNG,Naive,m1_Sinus_Naive,20
7,LNG,Naive,m2_Sinus_Naive,13
7,LNG,Naive,m3_Sinus_Naive,19
7,OM,D02,m1_ET_D2,89
7,OM,D02,m2_ET_D2,89
7,OM,D02,m3_ET_D2,132
7,OM,D05,m1_ET_D5,22
7,OM,D05,m2_ET_D5,48
7,OM,D05,m3_ET_D5,33
7,OM,D08,m1_ET_D8,87
7,OM,D08,m2_ET_D8,37
7,OM,D08,m3_ET_D8,46
7,OM,D14,m1_ET_D14,189
7,OM,D14,m2_ET_D14,211
7,OM,D14,m3_ET_D14,111
7,OM,Naive,m1_ET_Naive,95
7,OM,Naive,m2_ET_Naive,81
7,OM,Naive,m3_ET_Naive,75
7,RM,D02,m1_RT_D2,182
