"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fxyd6",171.147099305786,-1.03749221946085,0.185996821278048,-5.57801048604961,2.43284993020582e-08,1.34267707200728e-06
"Fxr1",118.269096509278,1.10799337455001,0.198971418250021,5.56860570374859,2.56785832138476e-08,1.38796713185776e-06
"Tle4",73.0488795880836,1.2860852413758,0.237925668983234,5.40540769254463,6.46611449151419e-08,3.19828663009518e-06
"S100a5",65.9832976286555,-1.33437321943315,0.247899690038533,-5.38271435202577,7.33709233252921e-08,3.50494255120345e-06
"Cnot3",65.5130876769413,1.4070920055677,0.261349679802096,5.38394386644441,7.28712375720176e-08,3.50494255120345e-06
"Msantd4",40.7139770556546,1.80113589596804,0.343135867266056,5.24904583807759,1.52889032770035e-07,6.79319660011267e-06
"Ap2a2",54.6837769099058,1.4785227706632,0.285826177618647,5.17280391523785,2.30606982517301e-07,9.59581277252547e-06
"Stoml3",62.6945679889365,-1.24342039345501,0.247258543310199,-5.0288268175028,4.93489839263918e-07,1.82208959666248e-05
"Rab8b",55.8477669651964,1.36873065338304,0.272880223311963,5.01586607036109,5.27950974849922e-07,1.92225483412371e-05
"Omp",55.4314921899578,-1.28616448405711,0.260753163420224,-4.93249810352004,8.11845681368495e-07,2.80033349172041e-05
"Gm4070",28.8486148834117,1.94959376503584,0.398193844538032,4.89609217163484,9.77612258186266e-07,3.32832536991597e-05
"Gng13",59.9423021279042,-1.23130815644482,0.251689893982689,-4.89216367395948,9.97334499198361e-07,3.37356437374001e-05
"Supt5",67.0026333920416,1.17837143331602,0.246358799011898,4.78315139561592,1.72568048998098e-06,5.32220165233547e-05
"Mitd1",66.1435175167189,1.1981907399335,0.252249362340363,4.75002485166548,2.03391651662619e-06,5.99091252621973e-05
"Cd36",33.0250004926501,1.84750479880729,0.392771149418606,4.70376910713027,2.55402071950581e-06,7.08504266262907e-05
"Serpine2",41.632919077772,-1.42912932202163,0.30472907799714,-4.68983574332557,2.73424449592369e-06,7.50557271839157e-05
"Chga",41.4470294455963,-1.39590765215198,0.300487775179136,-4.6454723534753,3.39299212496692e-06,9.07625393428652e-05
"Dgkz",42.8604457923755,1.43382148657225,0.311108274192372,4.60875394681935,4.05089384674501e-06,0.00010619418219242
"Mup4",214.808787654859,2.17159398998186,0.477687573748075,4.54605501445831,5.46607545833087e-06,0.000137122648937937
"Bmx",113.684771355049,1.04455100115838,0.23045200930976,4.53261832815854,5.82570222275344e-06,0.000144759036748324
"Ncam1",27.0940729169157,-1.71408558260419,0.37825598726823,-4.53154911038775,5.8552720958614e-06,0.000144807507540572
"Atf5",44.6103821961492,-1.30113435561973,0.290287234596272,-4.48223070308047,7.38668256600445e-06,0.000176841902710326
"Gnal",52.42179919392,-1.19800389726208,0.267874618358652,-4.47225610475008,7.73986530723525e-06,0.000184455062753793
"Nucb2",51.5261030807309,1.28680163723271,0.290111709602752,4.43553843102272,9.18424445680006e-06,0.000214013305275568
"Fstl5",45.5225091248603,-1.27127917391898,0.287241920115696,-4.42581352125391,9.60794986797105e-06,0.000222895934326426
"Knop1",71.140247776135,1.07173904182228,0.243190874569073,4.40698707844761,1.04818438559492e-05,0.000242098270205911
"Stc1",34.1929868824029,1.52492332439473,0.347087727471844,4.39348096661941,1.11549959833361e-05,0.000254285408437528
"Pik3c2a",73.8760519766888,1.10167717038441,0.2554470422951,4.31274193071971,1.61242288924047e-05,0.000353721054740075
"Dhx15",74.9541932009598,1.08148541454625,0.251006164344156,4.30860101532574,1.64290436883676e-05,0.000358906150242131
"Wdr45b",61.6749173510203,1.20030526791202,0.282682397883049,4.24612666689139,2.17497703406689e-05,0.000463553032098077
"Susd6",67.5325110863814,1.03808934507526,0.244626735310466,4.24356456279311,2.19997040068983e-05,0.000466981571288129
"Gfy",38.8236895009639,-1.32538195529192,0.313528854202443,-4.22730456073473,2.36507446561599e-05,0.000494027307698193
"Tbc1d20",54.0379581779821,1.14577238440449,0.271945153184765,4.21324804279939,2.51724360662856e-05,0.000517565028609942
"Ikzf5",31.2821421253371,1.49945384624386,0.357208284135125,4.19770176907949,2.69637391539267e-05,0.000550305715298301
"Ldhb",43.1071580720939,-1.19875036491177,0.29450149047834,-4.07043904248061,4.69246187785523e-05,0.000894639186385271
"Wdr43",57.3030951699919,1.11406138539451,0.274003586731437,4.06586424172047,4.78547884591715e-05,0.000909067593809552
"Paip2b",26.0414972793045,1.60099944997327,0.394865843674849,4.05454023339535,5.02330045389234e-05,0.000947380010063221
"Sult1d1",29.7133244612803,-1.45102043162139,0.35822788005605,-4.05055137359593,5.10970895107372e-05,0.000960222366683853
"Spint2",34.5644096581335,-1.31669119792613,0.328619498546384,-4.00673485216301,6.15639080810612e-05,0.00114460840450001
"Hbb-bs",31.8906201160483,8.19613410702373,2.07765668918263,3.94489337420235,7.98354947493899e-05,0.00143841064938506
"Nsun6",31.2328616963105,1.45206659484465,0.369286656808997,3.93208519200759,8.42122095649104e-05,0.0015068204681701
"Igfbp5",87.7373450490084,1.05911942467789,0.270472419525012,3.91581303017088,9.0100055598444e-05,0.00158521675000886
"Wdr70",31.1579824406564,1.401037092479,0.360925215152139,3.88179332909292,0.000103688982555241,0.00177149208491768
"Stmn2",40.457736439441,1.45514700117131,0.375384200101231,3.87642048008119,0.000106004432303045,0.00180448454079502
"Rtn1",24.5362602362126,-1.546110325247,0.399785795768924,-3.86734681824627,0.000110025897607494,0.00186085735856803
"Sdhaf4",44.8927268067715,-1.09562950551282,0.290491905927159,-3.77163522686084,0.000162181226614712,0.00256702546566044
"Chchd10",39.7489253928158,-1.17434221241161,0.313821893866773,-3.74206591497454,0.000182513624512098,0.00282630543623495
"Senp5",30.8872545062241,1.38642162478765,0.372312755036634,3.72380909875417,0.000196239336234718,0.00300842935637026
"2300009A05Rik",37.7518044417323,-1.14017781051017,0.309864405392104,-3.67960240243593,0.000233597874305305,0.00352954943799053
"Exoc6",49.7950969647798,1.00238889426339,0.278740734265565,3.59613350701869,0.000322982082819243,0.00470387516728137
"1110008P14Rik",49.369069084197,-1.00564207350556,0.280883203029701,-3.58028555163983,0.0003432189262562,0.00493012830235961
"Bms1",36.4558386802873,1.17735702766781,0.329904128836796,3.56878536749157,0.000358640077080303,0.0050547040971291
"Prxl2b",24.7201425963305,-1.37277489859855,0.388032264861792,-3.53778544443335,0.00040349778840623,0.00553805995972215
"Kank1",46.1038536770668,1.04579218154965,0.297030804767604,3.52082061780723,0.000430213545249575,0.00584634069702108
"Cyp2f2",24.585688806702,3.18975737332065,0.909400259060981,3.50753954767321,0.000452271123611065,0.00608014743869953
"Syn3",36.355013092803,1.16696740245381,0.333592536956728,3.49818198302556,0.000468441376991354,0.00623359933899916
"Reg3g",35.6875751770932,8.35889990114629,2.39474643377145,3.49051564844884,0.000482089379386238,0.00638281468717688
"Stard9",37.007888719588,1.10974767357798,0.32014426133063,3.46639876962183,0.000527480321883063,0.00689754088902116
"Bpifa1",26.7844913814245,7.94369851170026,2.31732884438944,3.42795478981458,0.000608146727947553,0.00775793988960832
"Otulin",32.5757720879597,1.20998040324383,0.354311019728835,3.41502334352984,0.000637765455491555,0.00811602981345199
"Cystm1",29.8720967828232,-1.18529927766338,0.348148577557449,-3.40457883234577,0.000662661703079398,0.0084002595453111
"Slc25a11",36.0360740932082,-1.07482853208162,0.320142973660876,-3.35733912817395,0.000786965237751431,0.00973127061681781
"Foxj2",30.5033975867519,1.18322923289807,0.353269681060753,3.34936536117456,0.00080996910762632,0.00992212156842241
"Wdr82",36.5865671030095,1.10069764859799,0.328603259384583,3.34962486574055,0.000809210731481937,0.00992212156842241
"Lsm1",38.9445267050022,-1.01706078566386,0.304802040894106,-3.33679125861629,0.000847515752266227,0.0102859377063237
"Tagln",26.4136561751977,1.32238156742187,0.398464042378267,3.31869736483403,0.000904383864097052,0.0107557319941748
"Cyth1",29.2906284833158,1.20051902691818,0.363069912969558,3.3065781108082,0.000944430152716316,0.0111023481854073
